crop,soil_type,nitrogen_kg_per_hectare,phosphorus_kg_per_hectare,potassium_kg_per_hectare,npk_ratio,primary_fertilizer,primary_fertilizer_kg_per_hectare,organic_manure,organic_manure_kg_per_hectare,secondary_nutrients,micronutrients,application_timing,total_cost_per_hectare,expected_yield_increase_percent,season,recommendation_source
cauliflower,black_cotton,101,81,97,101-81-97,Urea,219,Poultry Manure,24000,"S: 24, Ca: 67, Mg: 25","Zn: 4, Fe: 6, Mn: 3, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,72555,28,rabi,Agricultural University Guidelines
cauliflower,red_yellow,135,88,106,135-88-106,DAP,750,FYM,28000,"S: 16, Ca: 68, Mg: 24","Zn: 3, Fe: 12, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,144621,21,perennial,Agricultural University Guidelines
cauliflower,laterite,146,95,97,146-95-97,SSP,593,FYM,30000,"S: 21, Ca: 87, Mg: 28","Zn: 3, Fe: 12, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,141410,31,rabi,Agricultural University Guidelines
cauliflower,desert,124,68,80,124-68-80,NPK 20-20-20,620,Compost,33000,"S: 21, Ca: 57, Mg: 22","Zn: 5, Fe: 13, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,80839,31,perennial,Agricultural University Guidelines
cauliflower,mountain,135,74,89,135-74-89,NPK 19-19-19,710,Poultry Manure,26000,"S: 24, Ca: 132, Mg: 23","Zn: 3, Fe: 6, Mn: 3, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,149070,17,perennial,Agricultural University Guidelines
cauliflower,coastal,124,68,115,124-68-115,SSP,425,Vermicompost,26000,"S: 21, Ca: 136, Mg: 11","Zn: 5, Fe: 13, Mn: 3, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,125568,38,rabi,Agricultural University Guidelines
cauliflower,hill,124,74,89,124-74-89,CAN,476,Poultry Manure,26000,"S: 14, Ca: 85, Mg: 22","Zn: 3, Fe: 14, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,131566,16,rabi,Agricultural University Guidelines
cauliflower,forest,113,81,89,113-81-89,NPK 19-19-19,594,Neem Cake,17000,"S: 17, Ca: 95, Mg: 10","Zn: 3, Fe: 7, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,50210,20,kharif,Agricultural University Guidelines
lettuce,alluvial,86,51,82,86-51-82,NPK 20-20-20,430,Compost,12000,"S: 18, Ca: 131, Mg: 16","Zn: 7, Fe: 12, Mn: 6, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,47009,16,rabi,Agricultural University Guidelines
lettuce,black_cotton,77,61,90,77-61-90,MOP,150,Compost,13000,"S: 23, Ca: 130, Mg: 22","Zn: 7, Fe: 10, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,35803,27,kharif,Agricultural University Guidelines
lettuce,red_yellow,103,66,98,103-66-98,CAN,396,Compost,15000,"S: 22, Ca: 68, Mg: 27","Zn: 3, Fe: 8, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,67911,35,rabi,Agricultural University Guidelines
lettuce,laterite,111,71,90,111-71-90,MOP,150,FYM,16000,"S: 15, Ca: 135, Mg: 28","Zn: 7, Fe: 8, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,43903,31,rabi,Agricultural University Guidelines
lettuce,desert,94,51,73,94-51-73,SSP,318,FYM,18000,"S: 14, Ca: 118, Mg: 26","Zn: 4, Fe: 11, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,90780,23,rabi,Agricultural University Guidelines
lettuce,mountain,103,56,82,103-56-82,MOP,136,Compost,14000,"S: 15, Ca: 138, Mg: 15","Zn: 7, Fe: 9, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,54749,33,both,Agricultural University Guidelines
lettuce,coastal,94,51,106,94-51-106,CAN,361,Poultry Manure,14000,"S: 21, Ca: 107, Mg: 29","Zn: 5, Fe: 6, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,50497,27,rabi,Agricultural University Guidelines
lettuce,hill,94,56,82,94-56-82,Urea,204,Compost,14000,"S: 16, Ca: 51, Mg: 14","Zn: 3, Fe: 7, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,42039,29,kharif,Agricultural University Guidelines
lettuce,forest,86,61,82,86-61-82,NPK 20-20-20,430,Compost,9000,"S: 20, Ca: 93, Mg: 10","Zn: 7, Fe: 13, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,34111,34,both,Agricultural University Guidelines
kale,alluvial,79,64,82,79-64-82,NPK 19-19-19,415,Poultry Manure,14000,"S: 16, Ca: 135, Mg: 26","Zn: 4, Fe: 8, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,72931,25,both,Agricultural University Guidelines
kale,black_cotton,71,76,90,71-76-90,MOP,150,Neem Cake,15000,"S: 21, Ca: 77, Mg: 12","Zn: 7, Fe: 6, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,65053,19,perennial,Agricultural University Guidelines
kale,red_yellow,94,83,98,94-83-98,NPK 19-19-19,494,FYM,18000,"S: 13, Ca: 110, Mg: 23","Zn: 7, Fe: 5, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,80158,39,kharif,Agricultural University Guidelines
kale,laterite,102,89,90,102-89-90,NPK 20-20-20,510,Vermicompost,19000,"S: 15, Ca: 111, Mg: 22","Zn: 6, Fe: 9, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,79469,38,perennial,Agricultural University Guidelines
kale,desert,86,64,73,86-64-73,Urea,186,Neem Cake,21000,"S: 22, Ca: 75, Mg: 12","Zn: 6, Fe: 11, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,105126,24,kharif,Agricultural University Guidelines
kale,mountain,94,70,82,94-70-82,MOP,136,Vermicompost,16000,"S: 11, Ca: 75, Mg: 25","Zn: 6, Fe: 11, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,81808,35,rabi,Agricultural University Guidelines
kale,coastal,86,64,106,86-64-106,MOP,176,Neem Cake,16000,"S: 17, Ca: 111, Mg: 19","Zn: 5, Fe: 13, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,39498,24,both,Agricultural University Guidelines
kale,hill,86,70,82,86-70-82,MOP,136,Compost,16000,"S: 24, Ca: 125, Mg: 26","Zn: 3, Fe: 6, Mn: 3, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,49548,30,rabi,Agricultural University Guidelines
kale,forest,79,76,82,79-76-82,Urea,171,Compost,11000,"S: 17, Ca: 113, Mg: 27","Zn: 6, Fe: 10, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,41386,37,kharif,Agricultural University Guidelines
mustard_leaves,alluvial,64,64,65,64-64-65,NPK 20-20-20,320,Compost,9000,"S: 14, Ca: 106, Mg: 27","Zn: 7, Fe: 12, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,43951,36,kharif,Agricultural University Guidelines
mustard_leaves,black_cotton,57,76,71,57-76-71,NPK 19-19-19,300,Neem Cake,9000,"S: 10, Ca: 146, Mg: 15","Zn: 3, Fe: 6, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,41103,38,both,Agricultural University Guidelines
mustard_leaves,red_yellow,76,83,78,76-83-78,MOP,130,Vermicompost,11000,"S: 10, Ca: 123, Mg: 26","Zn: 6, Fe: 14, Mn: 3, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,27952,38,rabi,Agricultural University Guidelines
mustard_leaves,laterite,83,89,71,83-89-71,NPK 19-19-19,436,FYM,12000,"S: 17, Ca: 86, Mg: 21","Zn: 3, Fe: 6, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,58730,19,both,Agricultural University Guidelines
mustard_leaves,desert,70,64,58,70-64-58,Urea,152,FYM,13000,"S: 12, Ca: 87, Mg: 26","Zn: 7, Fe: 12, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,41825,17,perennial,Agricultural University Guidelines
mustard_leaves,mountain,76,70,65,76-70-65,Urea,165,Neem Cake,10000,"S: 14, Ca: 148, Mg: 18","Zn: 4, Fe: 7, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,36110,32,both,Agricultural University Guidelines
mustard_leaves,coastal,70,64,84,70-64-84,DAP,388,Neem Cake,10000,"S: 24, Ca: 122, Mg: 21","Zn: 7, Fe: 5, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,44766,17,kharif,Agricultural University Guidelines
mustard_leaves,hill,70,70,65,70-70-65,NPK 20-20-20,350,Poultry Manure,10000,"S: 11, Ca: 142, Mg: 12","Zn: 5, Fe: 6, Mn: 3, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,51494,26,both,Agricultural University Guidelines
mustard_leaves,forest,64,76,65,64-76-65,SSP,475,Poultry Manure,7000,"S: 20, Ca: 76, Mg: 21","Zn: 4, Fe: 5, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,44884,18,kharif,Agricultural University Guidelines
curry_leaves,alluvial,71,63,66,71-63-66,CAN,273,Neem Cake,12000,"S: 22, Ca: 130, Mg: 17","Zn: 4, Fe: 6, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,51998,29,rabi,Agricultural University Guidelines
curry_leaves,black_cotton,63,75,72,63-75-72,NPK 19-19-19,331,Poultry Manure,13000,"S: 16, Ca: 147, Mg: 25","Zn: 6, Fe: 14, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,66055,39,kharif,Agricultural University Guidelines
curry_leaves,red_yellow,85,81,79,85-81-79,CAN,326,Vermicompost,15000,"S: 18, Ca: 84, Mg: 17","Zn: 6, Fe: 6, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,58974,29,kharif,Agricultural University Guidelines
curry_leaves,laterite,92,88,72,92-88-72,SSP,550,Neem Cake,16000,"S: 15, Ca: 103, Mg: 22","Zn: 5, Fe: 12, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,55358,30,kharif,Agricultural University Guidelines
curry_leaves,desert,78,63,59,78-63-59,SSP,393,Vermicompost,18000,"S: 23, Ca: 107, Mg: 29","Zn: 5, Fe: 7, Mn: 3, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,51147,30,both,Agricultural University Guidelines
curry_leaves,mountain,85,69,66,85-69-66,MOP,110,Compost,14000,"S: 17, Ca: 54, Mg: 16","Zn: 4, Fe: 14, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,69292,29,both,Agricultural University Guidelines
curry_leaves,coastal,78,63,85,78-63-85,SSP,393,Poultry Manure,14000,"S: 24, Ca: 122, Mg: 11","Zn: 6, Fe: 7, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,58191,36,both,Agricultural University Guidelines
curry_leaves,hill,78,69,66,78-69-66,DAP,433,Neem Cake,14000,"S: 10, Ca: 97, Mg: 10","Zn: 7, Fe: 11, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,76219,26,rabi,Agricultural University Guidelines
curry_leaves,forest,71,75,66,71-75-66,SSP,468,Poultry Manure,9000,"S: 21, Ca: 102, Mg: 20","Zn: 3, Fe: 10, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,53874,18,both,Agricultural University Guidelines
coriander_leaves,alluvial,76,31,107,76-31-107,DAP,422,Poultry Manure,14000,"S: 21, Ca: 89, Mg: 14","Zn: 5, Fe: 5, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,59743,38,both,Agricultural University Guidelines
coriander_leaves,black_cotton,68,37,117,68-37-117,NPK 19-19-19,357,FYM,15000,"S: 20, Ca: 125, Mg: 19","Zn: 4, Fe: 10, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,64160,23,kharif,Agricultural University Guidelines
coriander_leaves,red_yellow,91,40,128,91-40-128,SSP,250,FYM,18000,"S: 24, Ca: 68, Mg: 16","Zn: 7, Fe: 5, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,96834,35,both,Agricultural University Guidelines
coriander_leaves,laterite,98,43,117,98-43-117,Urea,213,Compost,19000,"S: 10, Ca: 128, Mg: 15","Zn: 7, Fe: 11, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,94571,38,rabi,Agricultural University Guidelines
coriander_leaves,desert,83,31,96,83-31-96,SSP,193,Neem Cake,21000,"S: 21, Ca: 97, Mg: 21","Zn: 3, Fe: 13, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,57095,22,rabi,Agricultural University Guidelines
coriander_leaves,mountain,91,34,107,91-34-107,NPK 19-19-19,478,FYM,16000,"S: 13, Ca: 77, Mg: 19","Zn: 5, Fe: 5, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,47665,18,perennial,Agricultural University Guidelines
coriander_leaves,coastal,83,31,139,83-31-139,DAP,461,Vermicompost,16000,"S: 12, Ca: 71, Mg: 10","Zn: 6, Fe: 8, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,55963,33,both,Agricultural University Guidelines
coriander_leaves,hill,83,34,107,83-34-107,Urea,180,Compost,16000,"S: 11, Ca: 55, Mg: 10","Zn: 5, Fe: 6, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,42530,32,perennial,Agricultural University Guidelines
coriander_leaves,forest,76,37,107,76-37-107,DAP,422,Neem Cake,11000,"S: 24, Ca: 109, Mg: 27","Zn: 6, Fe: 12, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,47842,39,perennial,Agricultural University Guidelines
mint_leaves,alluvial,83,49,45,83-49-45,CAN,319,FYM,12000,"S: 12, Ca: 119, Mg: 10","Zn: 4, Fe: 6, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,53769,32,kharif,Agricultural University Guidelines
mint_leaves,black_cotton,74,58,49,74-58-49,Urea,160,Poultry Manure,13000,"S: 12, Ca: 112, Mg: 16","Zn: 6, Fe: 9, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,39214,19,both,Agricultural University Guidelines
mint_leaves,red_yellow,99,63,54,99-63-54,SSP,393,Poultry Manure,15000,"S: 19, Ca: 136, Mg: 22","Zn: 3, Fe: 9, Mn: 6, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,51626,30,perennial,Agricultural University Guidelines
mint_leaves,laterite,107,68,49,107-68-49,CAN,411,Compost,16000,"S: 24, Ca: 98, Mg: 12","Zn: 6, Fe: 7, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,89730,35,kharif,Agricultural University Guidelines
mint_leaves,desert,91,49,40,91-49-40,NPK 20-20-20,455,Poultry Manure,18000,"S: 15, Ca: 104, Mg: 12","Zn: 6, Fe: 5, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,95444,23,kharif,Agricultural University Guidelines
mint_leaves,mountain,99,53,45,99-53-45,SSP,331,Compost,14000,"S: 19, Ca: 62, Mg: 12","Zn: 6, Fe: 11, Mn: 6, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,58896,15,rabi,Agricultural University Guidelines
mint_leaves,coastal,91,49,58,91-49-58,Urea,197,Neem Cake,14000,"S: 18, Ca: 71, Mg: 28","Zn: 6, Fe: 12, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,38236,16,rabi,Agricultural University Guidelines
mint_leaves,hill,91,53,45,91-53-45,CAN,350,Neem Cake,14000,"S: 20, Ca: 139, Mg: 14","Zn: 6, Fe: 12, Mn: 3, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,39077,37,rabi,Agricultural University Guidelines
mint_leaves,forest,83,58,45,83-58-45,NPK 19-19-19,436,Vermicompost,9000,"S: 10, Ca: 112, Mg: 10","Zn: 6, Fe: 9, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,47618,29,kharif,Agricultural University Guidelines
basil_leaves,alluvial,108,63,82,108-63-82,MOP,136,Neem Cake,15000,"S: 10, Ca: 92, Mg: 16","Zn: 5, Fe: 12, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,57372,30,kharif,Agricultural University Guidelines
basil_leaves,black_cotton,97,75,90,97-75-90,MOP,150,Compost,16000,"S: 19, Ca: 142, Mg: 27","Zn: 4, Fe: 10, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,79250,38,perennial,Agricultural University Guidelines
basil_leaves,red_yellow,129,81,98,129-81-98,NPK 20-20-20,645,Vermicompost,19000,"S: 12, Ca: 107, Mg: 26","Zn: 3, Fe: 14, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,108711,31,rabi,Agricultural University Guidelines
basil_leaves,laterite,140,88,90,140-88-90,CAN,538,Compost,21000,"S: 12, Ca: 60, Mg: 29","Zn: 4, Fe: 12, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,81709,31,kharif,Agricultural University Guidelines
basil_leaves,desert,118,63,73,118-63-73,MOP,121,FYM,22000,"S: 23, Ca: 93, Mg: 20","Zn: 4, Fe: 9, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,110908,38,kharif,Agricultural University Guidelines
basil_leaves,mountain,129,69,82,129-69-82,DAP,716,FYM,18000,"S: 11, Ca: 135, Mg: 22","Zn: 6, Fe: 5, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,88364,33,kharif,Agricultural University Guidelines
basil_leaves,coastal,118,63,106,118-63-106,NPK 20-20-20,590,FYM,18000,"S: 22, Ca: 63, Mg: 28","Zn: 5, Fe: 8, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,85022,17,rabi,Agricultural University Guidelines
basil_leaves,hill,118,69,82,118-69-82,MOP,136,Neem Cake,18000,"S: 20, Ca: 66, Mg: 27","Zn: 7, Fe: 5, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,60445,31,rabi,Agricultural University Guidelines
basil_leaves,forest,108,75,82,108-75-82,CAN,415,Vermicompost,12000,"S: 11, Ca: 127, Mg: 14","Zn: 4, Fe: 13, Mn: 6, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,61077,31,kharif,Agricultural University Guidelines
celery_leaves,alluvial,103,49,60,103-49-60,NPK 20-20-20,515,Compost,8000,"S: 20, Ca: 70, Mg: 27","Zn: 7, Fe: 14, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,39871,28,kharif,Agricultural University Guidelines
celery_leaves,black_cotton,92,58,66,92-58-66,CAN,353,Neem Cake,8000,"S: 15, Ca: 51, Mg: 17","Zn: 4, Fe: 11, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,28490,29,rabi,Agricultural University Guidelines
celery_leaves,red_yellow,123,63,72,123-63-72,MOP,120,Compost,10000,"S: 19, Ca: 124, Mg: 21","Zn: 7, Fe: 7, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,29119,36,both,Agricultural University Guidelines
celery_leaves,laterite,133,68,66,133-68-66,DAP,738,Poultry Manure,11000,"S: 10, Ca: 145, Mg: 27","Zn: 4, Fe: 10, Mn: 3, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,62320,25,perennial,Agricultural University Guidelines
celery_leaves,desert,113,49,54,113-49-54,SSP,306,FYM,12000,"S: 20, Ca: 113, Mg: 17","Zn: 4, Fe: 12, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,35722,15,both,Agricultural University Guidelines
celery_leaves,mountain,123,53,60,123-53-60,SSP,331,FYM,9000,"S: 21, Ca: 67, Mg: 17","Zn: 5, Fe: 8, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,31129,28,both,Agricultural University Guidelines
celery_leaves,coastal,113,49,78,113-49-78,SSP,306,Vermicompost,9000,"S: 11, Ca: 50, Mg: 17","Zn: 3, Fe: 10, Mn: 3, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,41429,38,perennial,Agricultural University Guidelines
celery_leaves,hill,113,53,60,113-53-60,NPK 19-19-19,594,Poultry Manure,9000,"S: 16, Ca: 103, Mg: 21","Zn: 4, Fe: 12, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,62067,37,both,Agricultural University Guidelines
celery_leaves,forest,103,58,60,103-58-60,SSP,362,Compost,6000,"S: 19, Ca: 60, Mg: 16","Zn: 4, Fe: 9, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,30917,33,kharif,Agricultural University Guidelines
parsley,alluvial,81,45,45,81-45-45,Urea,176,Compost,17000,"S: 12, Ca: 115, Mg: 24","Zn: 5, Fe: 6, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,50506,26,perennial,Agricultural University Guidelines
parsley,black_cotton,72,54,49,72-54-49,DAP,400,Neem Cake,18000,"S: 12, Ca: 127, Mg: 29","Zn: 7, Fe: 8, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,50544,15,both,Agricultural University Guidelines
parsley,red_yellow,97,58,54,97-58-54,CAN,373,Compost,22000,"S: 11, Ca: 89, Mg: 25","Zn: 3, Fe: 8, Mn: 3, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,103420,17,rabi,Agricultural University Guidelines
parsley,laterite,105,62,49,105-62-49,NPK 19-19-19,552,Poultry Manure,23000,"S: 11, Ca: 141, Mg: 23","Zn: 3, Fe: 10, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,79819,19,both,Agricultural University Guidelines
parsley,desert,89,45,40,89-45-40,NPK 19-19-19,468,Neem Cake,25000,"S: 17, Ca: 96, Mg: 11","Zn: 7, Fe: 9, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,93500,17,kharif,Agricultural University Guidelines
parsley,mountain,97,49,45,97-49-45,NPK 19-19-19,510,FYM,20000,"S: 10, Ca: 64, Mg: 20","Zn: 4, Fe: 9, Mn: 3, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,112028,28,kharif,Agricultural University Guidelines
parsley,coastal,89,45,58,89-45-58,CAN,342,Poultry Manure,20000,"S: 10, Ca: 87, Mg: 27","Zn: 4, Fe: 14, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,58255,25,rabi,Agricultural University Guidelines
parsley,hill,89,49,45,89-49-45,Urea,193,Neem Cake,20000,"S: 21, Ca: 115, Mg: 27","Zn: 4, Fe: 7, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,100490,29,rabi,Agricultural University Guidelines
parsley,forest,81,54,45,81-54-45,DAP,450,Neem Cake,13000,"S: 18, Ca: 130, Mg: 29","Zn: 3, Fe: 9, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,79247,20,rabi,Agricultural University Guidelines
dill_leaves,alluvial,102,69,61,102-69-61,Urea,221,FYM,8000,"S: 21, Ca: 88, Mg: 28","Zn: 7, Fe: 11, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,21623,27,kharif,Agricultural University Guidelines
dill_leaves,black_cotton,91,82,67,91-82-67,MOP,111,Compost,8000,"S: 20, Ca: 109, Mg: 15","Zn: 6, Fe: 6, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,24417,38,perennial,Agricultural University Guidelines
